,LGA,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,77.0,78.0,79.0,80.0,81.0,82.0,83.0,84.0,85.0,86.0,87.0,88.0,89.0,90.0,91.0,92.0,93.0,94.0,95.0,96.0,97.0,98.0,99.0,100.0,101.0,102.0,103.0,104.0,Over 65 total per LGA
50,Gnowangerup ,18.0,9.0,17.0,16.0,8.0,12.0,9.0,10.0,9.0,9.0,5.0,9.0,4.0,5.0,3.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0
51,Goomalling ,18.0,17.0,17.0,5.0,18.0,4.0,10.0,9.0,12.0,5.0,13.0,11.0,5.0,6.0,3.0,7.0,10.0,5.0,3.0,0.0,6.0,5.0,3.0,4.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0
52,Gosnells ,1028.0,985.0,994.0,947.0,993.0,774.0,707.0,677.0,600.0,567.0,567.0,547.0,517.0,469.0,411.0,394.0,344.0,320.0,285.0,245.0,282.0,202.0,155.0,175.0,120.0,118.0,101.0,65.0,53.0,52.0,41.0,29.0,11.0,10.0,11.0,3.0,0.0,0.0,0.0,0.0,13799.0
53,Greater Geraldton ,390.0,392.0,355.0,351.0,408.0,274.0,296.0,285.0,254.0,248.0,217.0,210.0,239.0,211.0,192.0,168.0,150.0,163.0,137.0,128.0,116.0,111.0,70.0,62.0,57.0,37.0,44.0,27.0,30.0,26.0,17.0,10.0,0.0,3.0,3.0,4.0,0.0,0.0,5.0,0.0,5690.0
54,Halls Creek ,12.0,22.0,15.0,18.0,13.0,14.0,14.0,7.0,3.0,4.0,5.0,11.0,4.0,6.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0
55,Harvey ,277.0,289.0,305.0,284.0,307.0,208.0,194.0,214.0,149.0,192.0,156.0,155.0,130.0,127.0,126.0,113.0,98.0,62.0,68.0,58.0,53.0,51.0,29.0,33.0,31.0,30.0,12.0,15.0,12.0,8.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3792.0
56,Irwin ,55.0,74.0,58.0,65.0,57.0,58.0,47.0,48.0,44.0,61.0,27.0,34.0,36.0,35.0,36.0,22.0,23.0,22.0,13.0,13.0,17.0,14.0,13.0,8.0,12.0,7.0,7.0,9.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,925.0
57,Jerramungup ,16.0,13.0,6.0,16.0,10.0,7.0,13.0,3.0,8.0,9.0,3.0,6.0,7.0,3.0,6.0,4.0,9.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0
58,Joondalup ,1842.0,1775.0,1684.0,1594.0,1696.0,1261.0,1136.0,1103.0,898.0,837.0,778.0,700.0,641.0,582.0,558.0,523.0,508.0,475.0,439.0,448.0,380.0,376.0,279.0,255.0,233.0,195.0,187.0,136.0,108.0,79.0,54.0,46.0,23.0,13.0,16.0,9.0,5.0,0.0,4.0,0.0,21876.0
59,Kalamunda ,652.0,675.0,620.0,670.0,632.0,468.0,475.0,477.0,438.0,445.0,361.0,376.0,339.0,321.0,316.0,269.0,260.0,248.0,213.0,220.0,174.0,123.0,125.0,101.0,77.0,65.0,60.0,43.0,38.0,31.0,23.0,16.0,7.0,8.0,6.0,4.0,0.0,0.0,0.0,0.0,9376.0
